BGGId,Name,Year_Published,Description,Min_Players,Max_Players,Min_Playtime,Max_Playtime,Average_Rating,Bayesian_Average_Rating,Number_of_Ratings
270881,Trevi,2018,"Summary&#10;1. Board game , inspired by Trevi Fountain, is a good game for family which uses simple calculation. &#10;2. You have to play &lsquo;fountain cards&rsquo; to reach specific &lsquo;lucky number&rsquo; and get &lsquo;lucky token&rsquo;.&#10;3. Recommendations: Ages 8+ (Simple addition and subtraction ability is required.), 2~5 Players, 20~30 Min. to play.&#10;&#10;Components&#10;1. Fountain cards: 80 Cards&#10;2. Starting cards: 4 Cards&#10;3. Round cards: 15 Cards&#10;4. Lucky token: 40 Tokens&#10;5. Highest combo card: 1 Card&#10;&#10;Preparations&#10;1. Put 4 starting cards on the board side by side. Number &lsquo;7&rsquo; is written on starting cards. &#10;2. Shuffle fountain cards well and distribute 7 cards to each player. You should NOT show off your own cards to others.&#10;3. Make a deck with remaining cards. &#10;4. Gather all lucky tokens in one place.&#10;5. Shuffle 15 round cards and select random 5 cards to build round deck. Only 5 chosen cards will be used in this game.&#10;6. Show off the top card of round deck. Check the written number of token and place lucky tokens of that number next to round card.&#10;7. Start the game. The person who see fountain most recently is the first player.&#10;&#10;There has ONLY 2 options! Play or Draw!&#10;On your turn, there has 2 options. &#10;Play the cards to earn points or Draw the cards to fill your hands. After that, your turn is over.&#10;&#10;Action #1. Play the card(s). (Color match or Number match)&#10;Play the card(s) of your hand on the board.&#10;To do so, you must match color or number with current base card.&#10;Every time you play a card, current base card will be replaced to the last card you play. &#10;(In other words, base card will be changed every time you play a card.)&#10;You can play card again and again if color or number is same with replaced base card. Regardless of sign, number is matter. (&lsquo;-4&rsquo; and &lsquo;4&rsquo; are &lsquo;number matched&rsquo; in this game.)&#10;You cannot play cards on multiple area. You can only play ONE sequence of cards.&#10;&#10;Point!&#10;Current base card changes every time someone plays a card to last played card. You can play cards again and again if color or number is matched.&#10;Because starting cards is &lsquo;7&rsquo; and there has no &lsquo;7&rsquo; in fountain cards, the first play must be &lsquo;color match&rsquo;.&#10;&#10;Action #2. Draw the cards. (Draw 2 cards from deck)&#10;You don&rsquo;t want to or can&rsquo;t play card(s), draw 2 cards form deck to hand. &#10;All player can hold cards up to 7. If you are holding more cards, discard any card(s) to make 7 cards in your hand. Discarded card(s) will not be used in this game.&#10;&#10;To get &lsquo;Lucky Token&rsquo;&hellip;!?&#10;Round card shows 2 information, &lsquo;Lucky number&rsquo; and &lsquo;Lucky token&rsquo;. &lsquo;Lucky number&rsquo; is goal of this round.&#10;&lsquo;Lucky token&rsquo; is reward of this round. &#10;After player finishes card playing, add all number from base card to last card. If result is same with &lsquo;lucky number&rsquo; of this round, that player can earn &lsquo;lucky token&rsquo; per each card that he (or she) plays.&#10;Even though player plays more cards than remaining token, player can earn remaining &lsquo;lucky token&rsquo; only.&#10;Before end of turn, put together all cards that player plays and put the last card on the top of pile to notice what is current base card. &#10;When all &lsquo;lucky token&rsquo; is distributed of this round, show off next top card of round deck and place written number of &lsquo;lucky token&rsquo;.&#10;&#10;Point!&#10;Strategically, play as many cards as possible to earn more and give as less earning chance as possible to others.&#10;&#10;The end of game&#10;When all &lsquo;lucky token&rsquo; of 5 rounds is distributed, the game ends immediately. &#10;If you are holding cards at the end of the game, that gives you a penalty.&#10;Discard your &lsquo;lucky token&rsquo; per each card you have. &#10;Who has token most is the winner of this game.&#10;&#10;Point!&#10;You have to manage your fountain cards if you think end is coming!&#10;&#10;",2,5,20,30,10.0,0.0,2
110886,Feudality: The King Promo Card,2011,"This promo card was handed out at the Z-Man booth at Spiel 2011 in Essen.&#10;&#10;The card reads: The King is attending SPIEL Essen.&#10;In turn order, each player tries a Secret Amorous Liaison with the Queen until one player succeeds.&#10;&#10;It is to be used with the base game as it has a normal F-back.&#10;&#10;",2,6,75,75,6.76889,5.52541,45
2389,Othello,1883,"Trap other pieces between your own to capture them, but be aware that the opponent may do the same. Pieces will change sides (colors) dozens of times. The winner is the one with the most pieces when no more pieces can be played on the board.&#10;&#10;In Hong Kong, an advertising campaign by Texwood for its Apple Jeans involved the use of Othello sets, retitled Ping Guo Qi (Apple Chess). The sucess of the campaign raised the popularity of the game, and Ping Guo Qi or Apple Chess has since become an alternative name for Hei Bai Qi (Black and White Chess), the more traditional name for the game.&#10;&#10;Goro Hasegawa changed Setup of Reversi a bit and renamed it as Othello inspired from Shakespeare's play.&#10;&#10;",2,2,30,30,6.14033,5.94957,8630
235717,Bushido: Yatsumata,2014,"It&rsquo;s unclear if this huge snake is a priestess of Orochi warped by the Kami into its image or simply a monster from the jungles of Shimagamo. In battle Yatsumata moves with frightening speed and direction as if guided by an unseen hand. In combat each head can deliver a muscle wasting venom through foot long fangs as hard as iron, downing even the toughest warriors as they are reduced to a whimpering mess. Two heads leave the unholy beast with few natural blind spots, adding to its already strong survivability and resilience gifted by its speed and thick scales.  &#10;&mdash;description from the publisher&#10;&#10;",2,2,60,90,0.0,0.0,0
730,Breakout: Normandy,1992,"""Breakout: Normandy"" is a complex two-player wargame on the Allied invasion of France in World War 2.  The game concentrates on the initial landings and the subsequent breakout attempts.  The German player tries to prevent a successful Allied landing, and if that fails, to contain the beachhead.  The Allied player wins by establishing a beachhead, or (better) by successfully breaking out of the landing area.&#10;&#10;The mapboard depicts the Normandy area where the initial landings took place.  Units are regiments and brigades, representing infantry, airborne, armour artillery, anti-tank and anti-aircraft units.&#10;&#10;The game uses the area-impulse system used in Storm over Arnhem, Thunder at Cassino and Turning Point: Stalingrad.&#10;&#10;",2,2,240,240,7.69137,6.19987,1064
92090,Ascension: Chronicle of the Godslayer – Pathwarden Promo,2011,Promo card given out January 29th 2011 for game day.&#10;&#10;Cost: 6 Runes&#10;&#10;Lifebound Hero&#10;&#10;Gain 2 runes.&#10;You may spend runes as though it was power this turn.&#10;&#10;3 Honor&#10;&#10;,2,4,0,0,7.12985,5.63733,206
95616,"Dust Tactics: Operation ""SeeLöwe""",2011,"Game description from the publisher:&#10;&#10;The Allies are desperate; they face catastrophic losses across the coast of Great Britain. With the situation so dire, they have no choice but to split their focus, sending Her Majesty's fleet to face the Axis Kriegsmarine in the Channel, and leaving the naval base at Scapa Flow defenseless...or so it seems.&#10;&#10;Operation ""SeeL&ouml;we"" (Operation Sea Lion!) offers players eight new exciting scenarios that aren't restricted by a fixed number of army points. New tiles introduce buildings into the game, offering players new tactical decisions in an urban environment. New rules and new super strong and inhuman heroes further immerse you into this stimulating expedition. Also included in Operation ""SeeL&ouml;we"" is the untold history of the Axis and one of the cornerstones of their forces: the Blutkreuz Korps. Uncover truths known only to a select Axis few.&#10;&#10;Introducing a new level of strategy to your Dust Tactics gaming experiences, Operation ""SeeL&ouml;we"" assures that the battlefield will never be the same.&#10;&#10;",2,4,30,30,7.43137,5.54103,51
210021,Rakshasa Street: Miniatures Game,2016,"Rakshasa Street: miniatures game puts you in control of one of eight powerful soul masters in Rakshasa Street universe.These soul masters were divided into 2 groups fight each other.&#10;  The game using a unique &ldquo;Card Allowance System&rdquo; mechanism.Players must pay cards to move, attack, using items or skills, then replenish hand to end his turn.                                   Players play a set of element cards to attack or defence. When a defender's hand more than his hand limit.He must discard these overflow cards as wound.&#10;  When a group of soul masters control all core tiles or kill each soul master of other group once. They win the game.&#10;&#10;Description in Chinese:&#10;&#229;&#156;&#168;&#227;&#128;&#138;&#233;&#149;&#135;&#233;&#173;&#130;&#232;&#161;&#151;&#239;&#188;&#154;&#230;&#136;&#152;&#230;&#163;&#139;&#230;&#184;&#184;&#230;&#136;&#143;&#227;&#128;&#139;&#228;&#184;&#173;&#239;&#188;&#140;&#231;&#142;&#169;&#229;&#174;&#182;&#230;&#137;&#174;&#230;&#188;&#148;&#227;&#128;&#138;&#233;&#149;&#135;&#233;&#173;&#130;&#232;&#161;&#151;&#227;&#128;&#139;&#228;&#184;&#173;&#229;&#133;&#171;&#228;&#189;&#141;&#229;&#188;&#186;&#229;&#164;&#167;&#231;&#154;&#132;&#233;&#173;&#130;&#229;&#176;&#134;&#228;&#185;&#139;&#228;&#184;&#128;&#239;&#188;&#140;&#229;&#136;&#134;&#230;&#136;&#144;&#228;&#184;&#164;&#231;&#187;&#132;&#229;&#189;&#188;&#230;&#173;&#164;&#229;&#175;&#185;&#230;&#138;&#151;&#227;&#128;&#130;&#10;&#230;&#184;&#184;&#230;&#136;&#143;&#230;&#139;&#165;&#230;&#156;&#137;&#231;&#139;&#172;&#231;&#137;&#185;&#231;&#154;&#132;&ldquo;&#229;&#141;&#161;&#231;&#137;&#140;&#229;&#136;&#134;&#233;&#133;&#141;&rdquo;&#229;&#146;&#140;&ldquo;&#230;&#148;&#187;&#233;&#152;&#178;&#228;&#188;&#164;&#229;&#174;&#179;&rdquo;&#230;&#156;&#186;&#229;&#136;&#182;&#227;&#128;&#130;&#10;&#231;&#142;&#169;&#229;&#174;&#182;&#230;&#175;&#143;&#229;&#155;&#158;&#229;&#144;&#136;&#232;&#166;&#129;&#229;&#176;&#134;&#230;&#137;&#139;&#231;&#137;&#140;&#239;&#188;&#140;&#229;&#136;&#134;&#233;&#133;&#141;&#229;&#136;&#176;&#232;&#167;&#146;&#232;&#137;&#178;&#231;&#154;&#132;&#231;&#167;&#187;&#229;&#138;&#168;&#227;&#128;&#129;&#230;&#136;&#152;&#230;&#150;&#151;&#227;&#128;&#129;&#228;&#189;&#191;&#231;&#148;&#168;&#233;&#129;&#147;&#229;&#133;&#183;&#229;&#146;&#140;&#230;&#138;&#128;&#232;&#131;&#189;&#228;&#184;&#173;&#227;&#128;&#130;&#229;&#155;&#158;&#229;&#144;&#136;&#231;&#187;&#147;&#230;&#157;&#159;&#230;&#151;&#182;&#232;&#161;&#165;&#230;&#187;&#161;&#230;&#137;&#139;&#231;&#137;&#140;&#227;&#128;&#130;&#10;&#231;&#142;&#169;&#229;&#174;&#182;&#229;&#191;&#133;&#233;&#161;&#187;&#231;&#148;&#168;&#230;&#158;&#132;&#230;&#136;&#144;&#231;&#137;&#140;&#229;&#158;&#139;&#231;&#154;&#132;&#229;&#133;&#131;&#231;&#180;&#160;&#231;&#137;&#140;&#232;&#191;&#155;&#230;&#148;&#187;&#230;&#136;&#150;&#233;&#152;&#178;&#229;&#190;&#161;&#239;&#188;&#140;&#229;&#189;&#147;&#229;&#133;&#182;&#230;&#137;&#139;&#231;&#137;&#140;&#232;&#182;&#133;&#229;&#135;&#186;&#228;&#184;&#138;&#233;&#153;&#144;&#230;&#151;&#182;&#239;&#188;&#140;&#229;&#176;&#134;&#232;&#182;&#133;&#229;&#135;&#186;&#231;&#154;&#132;&#230;&#137;&#139;&#231;&#137;&#140;&#232;&#174;&#161;&#228;&#184;&#186;&#228;&#188;&#164;&#229;&#174;&#179;&#231;&#137;&#140;&#227;&#128;&#130;&#10;&#229;&#189;&#147;&#228;&#184;&#128;&#231;&#187;&#132;&#233;&#173;&#130;&#229;&#176;&#134;&#230;&#142;&#167;&#229;&#136;&#182;&#230;&#137;&#128;&#230;&#156;&#137;&#230;&#160;&#184;&#229;&#191;&#131;&#230;&#157;&#191;&#229;&#157;&#151;&#239;&#188;&#140;&#230;&#136;&#150;&#229;&#135;&#187;&#230;&#157;&#128;&#229;&#143;&#166;&#228;&#184;&#128;&#231;&#187;&#132;&#230;&#137;&#128;&#230;&#156;&#137;&#233;&#173;&#130;&#229;&#176;&#134;&#230;&#151;&#182;&#239;&#188;&#140;&#228;&#187;&#150;&#228;&#187;&#172;&#232;&#181;&#162;&#229;&#190;&#151;&#230;&#184;&#184;&#230;&#136;&#143;&#231;&#154;&#132;&#232;&#131;&#156;&#229;&#136;&#169;&#227;&#128;&#130;&#10;&#10;",2,6,30,60,10.0,0.0,1
88826,GridBowl,2013,"GridBowl is a simulation of American Football.&#10;In this game you find : touchdown, field goal, punt, play of scrimmage, etc...&#10;&#10;This game is played on a large gameboard (110 cm by 50 cm for big version, or 80cm by 45 cm for smaller version). You can play with 11 ""football miniatures"" (from Miggle Toy, or kaskey kids for example), or with 11 tokens representing players.&#10;&#10;Gridbowl is a game of PROGRAMMATION : each turn, you use a PlayBook card. This PlayBook card gives the type of movement for each specific player.&#10;&#10;Your opponent does the same with his own PlayBook card.&#10;&#10;Once the Playbook cards are chosen, players from each team act alternatively.&#10;So there is a lot of suspense in GriddBowl.&#10;&#10;In this game you must anticipate opponent's moves.&#10;&#10;",2,4,120,120,0.0,0.0,0
22364,Verðbréfaspilið,1990,"A family game for 10 years old and up. The goal is to become the Chairman of Iceland.&#10;To achieve that goal, players buy and sell stock, bonds and private companies, and seek to become major stock holders in each company.&#10;Players' money can be stored in a bank or taken as a loan, both options with interest.&#10;Players can hold auctions to sell their stock, and they can also make an offer for other's stock.&#10;The game ends when one player owns everything and becomes the Chairman of Iceland.&#10;&#10;",2,6,120,120,7.55714,0.0,14
20144,"Liebe, Jungs & Mädchenträume",2005,"This is one of three games in Kosmos new &ldquo;Freche Madchen &ndash; freche Spiele&rdquo; (Sassy Girls &ndash; Sassy Games) line, based on line of successful books called &lsquo;Sassy girls &ndash; Sassy Books&rsquo; of which more than 50 titles have already been released.&#10;&#10;Liebe, Jungs & Madchentraume (Love, Boys and Girls&rsquo; Dreams) is a party game.&#10;&#10;",2,4,0,0,0.0,0.0,0
249678,Perplexus Mini: Cascading Cups,2018,"This is an excellent introduction to the concept of the Perplexus range. The difficulty of the cups (make the ball jump!) is flexible because the course is double-sided. &#10;Take it anywhere, play it all the time, this mini 3D maze is perfect for discovering the world of Perplexus!&#10;&#10;Contains a 20-step jump course, double-sided and a ball&#10;&#10;&mdash;description from the publisher&#10;&#10;",1,1,10,10,5.66667,0.0,3
207360,2GM Tactics: Italy,2017,A base game expansion adding the Italian Army to the Axis.&#10;&#10;The expansion includes a total of 120 cards:&#10;-    62 units of 19 different types &#10;-    50 Support cards&#10;-    2 summary cards&#10;-    4 Terrain cards&#10;-    2 General cards&#10;&#10;Content&#10;1* Headquarters&#10;1* D10 (violett)&#10;1* Rule booklet&#10;1* Counter sheet (6 counters)&#10;2* General cards Montgomery/Wavell & Auchinleck/O&rsquo;Connor &#10;2* Player-Help cards&#10;&#10;Unit cards&#10;6* Light Infantry (Infantry)&#10;6* Heavy Infantry (Infantry)&#10;3* Special Forces (Infantry)&#10;3* Radio Link  (Infantry)&#10;3* Mounted Infantry (Infantry)&#10;3* 47 / 32 (Artillery)&#10;3* 75 / 18 (Artillery)&#10;3*149 / 35 (Artillery)&#10;2* 90 / 53 (Artillery)&#10;3* L3 / 33(Tank)&#10;3* L6 / 40(Tank)&#10;3* M11 / 39 (Tank)&#10;4* M13 / 40 (Tank)&#10;3* Semovente 47 / 32 (Tank)&#10;3* Semovente 75 / 18 (Tank)&#10;4*SPA Protetto (Truck)&#10;3* Fiat 666 (Truck)&#10;2* Saetta (Airplane)&#10;2*Sparviero (Airplane)&#10;&#10;Support cards&#10;1* General&#10;2* Fasces (Special)&#10;2* Entrenched (Equipment)&#10;2* Sustained Fire (Equipment)&#10;2* Camouflage (Equipment)&#10;2* Damaged (Equipment)nt&#10;2* Ammo (Equipment)&#10;2* Loaded Weapon (Equipment)&#10;2* Counter Attack (Equipment)&#10;2* Bayonets (Equipment)&#10;2* SWIFT Deployment (Equipment)&#10;3* Promotion (Promotion)&#10;2* Hardened (Promotion)&#10;2* Reinforcements (Supply)&#10;2* Anti-Tank Mine (Supply)&#10;2* Anti-Personnel Mine (Supply)&#10;2* Luck (Supply)&#10;2* Surrender (Supply)&#10;2* Missed 8Supply)&#10;2* Sabotage (Supply)&#10;2* Disabled (Supply)&#10;2* Seized (Supply)&#10;2* Allies (Supply)    &#10;2* New Orders (Supply)&#10;2* Decoy (Supply)&#10;&#10;Terrain Cards&#10;2* Desert House/Ruins&#10;2* Barricades/Dunes&#10;&#10;,1,4,30,120,7.93154,5.55352,62
193530,Clown Face,2016,"Red leg, blue hair, yellow hand! 1, 2, 3...go!&#10;&#10;The Chief Clown in shows three cards with different images to confuse the other clowns. After the third card is shown, all other clowns use the three cards to determine where to put their hands. The first clown placing their hand on the right combination gets all cards.&#10;&#10;Score as many cards as you can to win Clown Face. Are you quick enough to become the new Chief Clown, or are you the clown everybody laughs at?&#10;&#10;",3,6,10,0,4.475,0.0,12
184186,The 7th Continent: The Forbidden Sanctuary,2017,Those that built this temple made sure that nobody would come and disturb their precious treasure. You&rsquo;d best know some of its secrets before setting foot inside or each step could be your last.&#10;&#10;This expansion contains 96 additional cards that will increase the size of the Continent and offer you a new curse to unravel!&#10;&#10;,1,4,5,1000,8.23225,6.13407,691
189880,Level 7 [Omega Protocol]: Extreme Prejudice,2016,"After the Agency executed Omega Protocol, Subterra Bravo was nothing but a smoldering crater. We thought there were no survivors. We were wrong. Dr. Cronos is at large. A new team of Agency commandos, call sign Tin Man, has tracked the rogue alien to a secret research facility in Russia. Their mission: exterminate. Meanwhile, Cronos has revived Russian experiments incorporating Ghin technology. In his new Russian collaborators he has found the means to protect his nefarious research.&#10;&#10;To reach Cronos, the commandos will first have to go through his army of Spetznaz and confront a new genetically engineered nightmare. But Tin Man has a hulking mech suit bristling with weapons and high-tech capabilities, as well as an unlikely ally in Thoth, a Ghin scientist with powerful psychotronic abilities and the sworn enemy of Dr. Cronos.&#10;&#10;Extreme Prejudice is an adrenaline-fueled expansion for LEVEL 7 [OMEGA PROTOCOL], a semi-cooperative board game of miniatures-based tactical combat for 2&ndash;6 players. Includes five new scenarios, three new enemy types, and two new commandos.&#10;&#10;",2,6,0,0,8.09062,5.60205,96
17974,Be Sharp or Be Flat,0,"According to Sid Sackson's ""A Gamut of Games"":&#10;&#10;Move your miniature metal instrument along a path of piano keys to the note specified by a card. If correct, collect ""sharp"" or ""flat"" cards. Win by completing a set of each.&#10;&#10;",2,6,0,0,0.0,0.0,0
33412,5150: Illegal Aliens,2007,"This is an expansion for the base game 5150.&#10;&#10;From the publisher's website:&#10;&#10;This book will introduce you to eight new aliens. Inside ILLEGAL ALIENS you will find complete descriptions for each of these alien races. These include pictures and the following information:&#10;&#10;&#10;     Who these aliens are.&#10;     Their current history.&#10;     The type of Encounters they have.&#10;     Their Prime Motivator.&#10;     Their small unit organization.&#10;     The Attributes they possess including new ones not previously mentioned in 5150.&#10;     The weapons they use at squad level.&#10;     Any available support weapons.&#10;     What reinforcements are available.&#10;     What type of vehicles they can utilize.&#10;     And finally complete stats for their weapons.&#10;&#10;&#10;In addition we have included one scenario that introduces yet another new alien for a total of nine! This scenario features a new alien known simply as the ""Night Terror"".&#10;&#10;So without further adieu, let us introduce you to your new neighbors!&#10;&#10;",1,0,120,120,7.36364,0.0,11
21220,Powerball,2000,"Powerball Das Spiel is played within a wooden frame that is assembled in two halves.  The playing surface or pitch slopes down from the middle to the two ends where the players stand.  In the center of the pitch is a small indentation.  A ping-pong (table tennis) type ball is placed in the indentation.  The players each have one or more wooden shoots under their control, which they use to launch ball bearings at the ping-pong ball.  In front of the shoots at each end is a bar or barrier.  This is suspended just above the playing surface so that there is sufficient room for the ball bearings to run underneath, but not the ping-pong ball.  In the center of the bar the gap is higher.  This is the goal area where the ping-pong ball can also run underneath.  The idea of the game is to launch the ball bearings at the ping-pong ball and direct the ping-pong ball into the opponent's goal.  Play can be to a specific number of  goals or for a particular time period, with one to three players on each team.&#10;&#10;",2,6,10,10,6.0,0.0,1
118495,Escriba,2008,"Escriba is an adventure game based on Bible stories. The game is set in the Old Testament times. One player is the Master and will coordinate the adventure. The other players are pilgrims on the land, facing several adversities.&#10;&#10;The Master will lead the pilgrims through one of 20 adventures contained in the Adventure Book. As the game goes on, the pilgrims will collect points from the results of the battles against the adversities and from a list of Bible questions they have to answer. The player with the most points in the end of the adventure wins the game.&#10;&#10;",3,5,30,30,0.0,0.0,0
128295,Flingin' Frogs,2012,"From the publisher:&#10;&#10;Fling your frogs onto the Lily Pad levels to score points. But, beware&hellip;someone else&rsquo;s flung frog may push yours off and leave you scoreless! Challenge friends to a game, or play by yourself to top your best scores. The Lily Pad also acts as a convenient storage and travel case.&#10;&#10;Contents: Lily Pad with 5 Levels, 12 Frogs (3 of Each Color), Rules. The lily pad also doubles as a convenient storage case.&#10;&#10;",1,4,0,0,6.0,0.0,1
256773,Cunning,2018,"A trick-taking game in where the goal is to play the lowest card of the trick face down to win points equal to the value of all cards in play.&#10;&#10;The game ends after someone reaches the point limit of 50 times number of players or 20 turns, whichever is achieved first.&#10;&#10;",2,6,5,20,0.0,0.0,0
