BGGId,Name,Year_Published,Description,Min_Players,Max_Players,Min_Playtime,Max_Playtime,Average_Rating,Bayesian_Average_Rating,Number_of_Ratings,Mechanics,Categories
177956,Uhrwerk! Das Magazin (Sonderausgabe 15 Jahre Myranor - 2015),N/A,"Publisher blurb&#10;&#10;Sonderausgabe 15 Jahre Myranor&#10;&#10;Im Oktober, auf der Messe in Essen, feiern wir 15 Jahre Myranor!&#10;Nicht immer sah es so aus, als w&auml;re so ein Jubil&auml;um zu erreichen. Der Anfang war offenbar nicht so, wie man sich das vorgestellt hatte &ndash; was sicher f&uuml;r beide Seiten des Werkes gilt, Leser und Autoren.&#10;Das Kleine hatte schon einige Schwierigkeiten bei seinem Start ins Leben. Die Zeit bis zum Kindergarten war holprig, wenn auch ambitioniert, und munter stapfte es drauf los. Meist war es in warmen Zonen unterwegs und erz&auml;hlte uns alles, was es so fand und sah. Vieles von dem, manche meinten gar alles, trug Fell. Das war neu und damit gewann es nur wenige Freunde. Andere wurden schnell davon abgeschreckt, dass es nach vermeintlich alten oder gar falschen Regeln lebte. So schwand das Interesse und es wurde recht still um das j&uuml;ngste Kind von Los und Sumu. Mit&#10;der Zeit bekam man den Eindruck, auch die Eltern h&auml;tten das Kind versto&szlig;en.&#10;Eine Handvoll Unerschrockener sammelte sich, das Kind auch weiterhin zu begleiten, seinen Geschichten zu lauschen, es mit eigenen Erz&auml;hlungen zu unterhalten und seine Entwicklung ganz&#10;allgemein zu f&ouml;rdern. Die Namen dieser fr&uuml;hen Helden sind Benjamin Filitz, Johannes Borgwardt, Ines Krtschil, Jan Philipp Fiedler, Bernadette Wunden, Tobias Mauritius Fink, Kai Frederic Engelmann, Matthias L&ouml;ffler und Stephan Rubach. Sie gr&uuml;ndeten die Memoria Myrana und hielten das Interesse am G&uuml;ldenland aufrecht. Schaut man heute zur&uuml;ck, m&ouml;chte man meinen, ohne sie &ndash; ohne das eigene Schreiben, ohne das immer wieder Herantreten an die Redaktion auf Cons, das Fordern neuer Publikationen &ndash; w&auml;re die Geschichte vielleicht eine andere geworden.&#10;Andere kamen in den Jahren seitdem hinzu, wie u. a. Ren&eacute; Littek, Christian Sa&szlig;enscheidt, Jochen Willmann, Kirsten Schwabe und auch ich.&#10;&#10;Die Helden der ersten Stunde, sind leider schon l&auml;nger nicht mehr dabei, ebenso wenig, wie die meisten Autoren der fr&uuml;hen Publikationen. Die allgemeinen Entwicklungen und Umw&auml;lzungen im derischen Kosmos und dem Setting selber haben ihre Spuren eben auch bei Myranor hinterlassen. Heute schreiben ein bis zwei Dutzend Menschen f&uuml;r den Uhrwerk Verlag an Myranor. &Uuml;ber 80 Publikationen, Artikel und Produkte sind in den bisherigen Jahren entstanden.&#10;Mit Beginn der &bdquo;Schulzeit&ldquo; kam das Kleine in neue Obhut und wurde dann dem netten Onkel Pat in Pflege gegeben, der sich auch heute noch um das mittlerweile zum Teenager gewordenen Kind k&uuml;mmert. Ihm zur Seite stehen inzwischen einige derjenigen, die ihre ersten Erfahrungen mit Myranor im Rahmen des Fanzines machen durften. Auch dieses hat nun zehn Jahre &uuml;berlebt und sich damit in die Senioren-Reihe von Fanzines hineingeschrieben. Beide Ereignisse, Jubil&auml;en beruhen auf der gleichen Grundlage: dem Engagement und der Treue von Fans. Das war der Antrieb Myranor auch gegen Fanpros M&uuml;digkeit zu unterst&uuml;tzen und der Anlass f&uuml;r Patric G&ouml;tz Myranor zu &uuml;bernehmen und weiterzuf&uuml;hren.&#10;Und deshalb ist diese Sonderausgabe auch keine dicke Werbet&uuml;te mit Geschichten &uuml;ber &bdquo;fr&uuml;her war alles besser&ldquo;, &bdquo;Was ihr schon immer &uuml;ber Myranor wissen wolltet, &hellip;&ldquo; oder einer Klappentext-Sammlung aller Publikationen. Diese Sonderausgabe des Uhrwerk! mit seinem Memoria Myrana-Teil f&uuml;r Myranor bringt genau das, was Myranor ausmacht:&#10;Geschichten, Abenteuer, Helden, Spannung und Infos rund um Myranor &hellip; von Fans, mit Fans und f&uuml;r Fans.&#10;&#10;Wir sehen uns auf der n&auml;chsten Con &hellip;&#10;&#10;Peter Horstmann&#10;(Myranor-Fan seit 2004)&#10;&#10;Inhalt&#10;&#10;     T: Sabine Eimke -     Kurzgeschichte: Brajanstag&#10;     T: Dennis R&uuml;ter ~ B: K. Schwabe, B. Wunden -    Abenteuerszenario: Intrigentanz&#10;     T: Fabian Talkenberg ~ B: P. Horstmann -     Anhang: Myranische Magie&#10;     T: Jochen Willmann, Uli Lindner -    Vorschau: Myranische Meere&#10;     T: Jochen Willmann, Stefan Urabl ~ B: P. Horstmann -    Spielhilfe: Silva glaciei &ndash; Der Wald aus Eis&#10;     T: Marco-Pascal He&szlig; ~ B: Marco-Pascal He&szlig; -    Spielhilfe: Nekyaton &ndash; Die Gef&auml;gnisnekropole&#10;    T ~ B: unsere Helden     Regelecke: Myraniare: Rundenhelden I&#10;     T: Christoph Daether ~ B: P. Horstmann -    Vorschau: Corabenius &ndash; Tor zwischen den Bergen&#10;     T: Morcarion vom Berg -    Abenteuerszenario: Die Priesterin von Cranarenius&#10;&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
143770,Protodimension (Issue 15 - Spring 2013),N/A,Protodimension Magazine&#10;Issue #15&#10;Spring 2013&#10;&#10;Cover by Norm Fenlason&#10;&#10;,N/A,N/A,N/A,N/A,0,0,0,[],[]
32789,Bogoss,2007,"From the editor box:&#10;&#10;""Find 6 parts of a skeleton, what an odd challenge... buy be careful of broken bones... An exchange game with phosphorescent cards so you can also play in the dark!""&#10;&#10;Aim of the game:&#10;&#10;Be the first to piece together 2 unbroken skeletons or 1 single broken skeleton""&#10;&#10;The game comes with:&#10;&#10;30 Skeleton cards (green symbols)&#10;12 broken skeletons cards (red symbols)&#10;2 joker&#10;&#10;total: 44 luminous cards&#10;&#10;",2,4,15,15,4.17453,5.46349,53,['Set Collection'],"['Card Game', ""Children's Game""]"
261333,Fix och Foxi på äventyr i skogen,0,You have two playing pieces who you want to move as fast you can thru the forest. It is always the playing piece that is furthest away from goal that have to move every time. At 10 spaces it will happen special things in the forest. The player that lands on these spaces have to roll a color-dice with only red and green fields and do the outcome of the die.&#10;&#10;,2,4,0,0,2.5,0,1,['Roll / Spin and Move'],"[""Children's Game""]"
196416,Diabolical Oni,2016,"From publisher blurb:&#10;&#10;The world's most famous fantasy role-playing game has a huge monster book, but many creatures we loved in prior editions were overlooked.  The 5e Fiendopedia brings some of these back and updates them for the 5th edition rules.&#10;&#10;This PDF includes 6 Oni: Fire Yai, Ice Yai, Kuwa, Spirit Yai, Void Yai, and Water Yai.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
32082,Bonus,2007,"From the designers homepage:&#10;&#10;Strategic and entertaning cardgame for both adults as well as the whole family. BONUS is easy and fast to learn, but very hard to master! Can be played from the age of 7.&#10;&#10;The players must play their cards to the canter of the table - and this way score the fewest possible cardpoints when the game ends. Strategy, tactics and vigilance is a necessity.&#10;&#10;BONUS is played by 2, 3 or 4 players! With 2 BONUS games up to 8 players are supported. At 4, 6 or 8 players BONUS can be played as a partnergame!&#10;&#10;BONUS is a true international game! 11 different languages are included in the gamerules inside the BONUS box!&#10;&#10;",2,8,0,0,4.86731,0,26,[],"['Abstract Strategy', 'Card Game']"
46150,Bad Day at the Lab,2000,"Bad Day at the Lab is a ""Weird Science"" adventure for the Fudge roleplaying game.  It's set in the modern day, with some implausible twists ...&#10;&#10;The characters in Bad Day at the Lab are working on a thought-transference gadget.  They don't realize they've been successful until certain events are set in motion ...&#10;&#10;Six characters are provided.  Map of the lab included.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
247135,The Villagers,2018,"The Villagers is a &ldquo;mafia&rdquo; or &ldquo;werewolf&rdquo; type of social deduction party game played by two teams: The Plague Doctor team, and the Villager team. The game requires a Moderator who runs the game.&#10;&#10;The Villagers has 23 different roles, and is set during the time of the Bubonic Plague.&#10;&#10;In The Villagers, you&rsquo;re either with the Plague Doctor team or the Villager team. The Plague Doctors will try to infect a new Villager each night, while the Villagers try to deduce who in their midst are Plague Doctors in hiding. The Plague Doctors are posing as Villagers too, so who do you trust? Exile a new player each day, but beware, as new infections plague your village each night.&#10;&#10;",7,23,15,90,7.44286,5.53561,49,"['Cooperative Game', 'Player Elimination', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']","['Bluffing', 'Card Game', 'Deduction', 'Medieval', 'Party Game', 'Spies/Secret Agents']"
123475,She Who Must Be Obeyed,2007,"From the Introduction&#10;&#10;The is an ""Extended Encounter"" for the Dragonquest Majesty campaign. This item is not quite long enough to be a mini-scenario, but should take longer to play than a single encounter.&#10;&#10;There is a tradition that girls from the village must ask a nearby harpy for approval to marry their chosen spouse. If not, legend says, the harpy will swoop down and steal their firstborn child. Homage must be paid during the visit to the harpy including baskets of sugary fruits, live goats, and a story-teller to amuse and inform the harpy. The party will escort the girl, and provide entertainment for the harpy. If she is impressed she will ask a favor of the party in return for some magic amulets...&#10;&#10;Note: This is a fan-created, free adventure.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
66007,The Ultimate GM Screen II,2009,"Publisher Blurb:&#10;&#10;The Ultimate GM Screen 2 is a must have for any fantasy game master. We've incorperated user feedback from our first GM screen to create this masterpiece. Bigger and sturdier than ever, this screen has two dice rolling towers (one toward the GM, one toward the players) and a quick-release disassembly design that allows you to transport or store this bad boy quickly and easily. Storage shelves in the rear are perfect for organizing the minis you need for the game, all while keeping them hidden from the players view. The screen can also be easily expanded to any length, simply by adding additional quick-release wall sections. Designed for the beginner card modeler, this set features our award winning texture graphics, full color instructions, and easy-to-build designs.&#10;&#10;",N/A,N/A,N/A,N/A,10,0,1,[],[]
101842,Wits & Wagers: Alan R. Moon Personality Card Promo,2009,User Summary&#10;&#10;North Star Games made this personality card with 7 of Alan R. Moon&acute;s favorite questions.&#10;&#10;,0,0,0,0,6.1,0,19,"['Betting and Bluffing', 'Paper-and-Pencil', 'Simultaneous Action Selection']","['Expansion for Base-game', 'Party Game', 'Trivia']"
96209,Switching to Guns (Issue XIX - Mar 2009),N/A,"&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;Contents:Here&rsquo;s some more information on the Ashford Valley, a setting I made for a Chat game, using the Labyrinth Lord retro&ndash;clone game system.&#10;&#10;All about Ashford&#10;&#10;     History of the valley&#10;     Those mysterious runestones&#10;     The valesmen&#10;     The government, arms and laws&#10;&#10;&#10;",N/A,N/A,N/A,N/A,8,0,1,[],[]
95541,Ghana Bwana,N/A,"From the Game Manual / Box:&#10;&#10;Join Professor Chance, better known as Ghana Bwana, on his hazardous quest for the ""Great Secret"" of legendary Erebus Island.  Use your wit and quick reflexes to make your way through the many perils of this hostile and mysterious land.  If your luck holds, you may reach the treasure site, the final and ultimate challenge.&#10;&#10;",1,1,N/A,N/A,0,0,0,[],[]
17026,Top Dogs,2005,"From the Playroom Entertainment website:&#10;&#10;""Mush! It's dog sledding time! Welcome to Alaska, where our team of dogs led by the Musher of your choice is ready to compete in the Iditarod.&#10;&#10;In Top Dogs, players must pick their best combinations of dogs to form the strongest team to compete for each race and win the trophies of different values. But, other players have the same dogs to choose from and the competition can become sneaky!&#10;&#10;As soon as each player has chosen their team, each set of dogs are evaluated for team strength and the trophy is awarded. So jump on your toboggan and choose wisely in this dog-eat-dog game of psyching out opponents.""&#10;&#10;",3,5,20,20,5.03517,5.46107,176,['Hand Management'],"['Animals', 'Card Game']"
81275,L.A.F.F.S.,2000,"Which stands for: Ludicrous Action/Fast-n-Free System&#10;&#10;From the Introduction:&#10;&#10;L.A.F.F.S. is a comedy RPG that borders on the absurd.  Imagine a rag-tag band of bumbling elves rescuing a blonde, brain-dead hot babe of a princess from the castle of a fearful and flatulent tyrant.  Maybe you'll want to rocket into the future with a spoof of your favorite sci-fi films-""May the spork be with you!""  The setting and the story are up to the wildest imaginations of you and your friends.  These rules for character generation and action resolution will merely help provide the laughs.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
190216,ShipLord,N/A,"ShipLord is a survival game based on an asteroid dodging mechanics and energy collection, combined with interactive boss fights. The main goal of the game is to survive specific a period of time, collect as much energy as possible so you can progress further into the vast and fully unique space.&#10;&#10;Source: The Game Website.&#10;&#10;",1,1,N/A,N/A,4,0,1,[],[]
75836,BESM Hellsing: Ultimate Fan Guide #2,2002,"Publisher Blurb:&#10;&#10;The rogue vampire series continues! After saving Victoria Seras, a special police operative, from death by transforming her into a vampire, Arucard must work with her to fight the undead army -- as well as her own newfound hungers!. The second of two in a series, this authorized ULTIMATE FAN GUIDE details episodes 7-13: episode summaries, character profiles, setting exploration and theme analysis. Includes comprehensive character sheets for the BIG EYES, SMALL MOUTH anime RPG as well. With hundreds of full-color images from the series, and many pages of production line art, this Ultimate Fan Guide is the definitive English-language resource book for Hellsing, episodes 7-13.&#10;&#10;",N/A,N/A,N/A,N/A,0,0,0,[],[]
90349,"Polyhedron (Issue 33 - Vol. 6, No. 6)",N/A,"Cover art: The Brenalette Family is portrayed on the cover of this issue.  Artwork by Valerie Valusek.&#10;&#10;This issue featured The Sword & the Anti-Hero  by Robert j Blake, Anita B Frank, and Rex Zinn. - High adventure and intrigue in Mythical Finland. How will you fare as a pawn of the gods?&#10;&#10;The contents listed the RPGA Network Tournament Winners List on page 31, but there was a Convention Judge Appeal instead, with a note ""Because of the importance of securing judges for the convention, and for Origins in Baltimore, we are suspending for this issue the RPGA Network winner list.  Next issue will feature two winners lists.""&#10;&#10;",N/A,N/A,N/A,N/A,6,0,1,[],[]
169764,Phantasmaburbia,N/A,"The general approach I've observed in role-playing game design is to use the classic RPG structure as a starting point; a framework that's tried and true, for the designer to wrap a story around. And that's a perfectly valid approach! But I think it also makes for a spread of RPGs today that are all just a bit too similiar. I wanted to make an RPG that was a game designer's game first. That's why this is a game that has a lot more gameplay than fluff.&#10;&#10;For fans of RPGs, many elements might individually come as a shock--there's no NPCs, no shops, and just one town in the whole game. You gain levels in a way such that you're never forced to grind, and the battles themselves are made to go quickly and succinctly (this game doesn't waste your time). The decisions you make over the course of the game have little effect on the story, but have ramifications for your characters' abilities and what dungeons you play. The puzzles are based on spatial manipulation, and require logical thinking beyond memorization or basic lock-and-key archetypes. While I still clung onto some of the superficial bits of old RPGs that I loved like combat menus and inventories, I also worked at every turn to personalize those things or optimize them to make something that's both classic and new. In playing, all of these ""weird"" pieces fit together very well.&#10;&#10;But morseo, this is a game for those who ""aren't really into RPGS (anymore)."" This is a pervasive sentiment, and one which I share (!!!) My goal at the outset was to make an adventure that I'd want to play--one that was fast and fun, with a good story but also good gameplay. Try it out.&#10;&#10;Source: The Game Website.&#10;&#10;",1,1,N/A,N/A,0,0,0,[],[]
